iso3c;AG.YLD.CREL.KG;EG.ELC.ACCS.ZS;EN.URB.MCTY.TL.ZS;ER.PTD.TOTL.ZS;IS.AIR.DPRT;IS.SHP.GOOD.TU;IT.MLT.MAIN.P2;IT.NET.BBND.P2;IT.NET.SECR.P6;NY.GDP.PCAP.PP.CD;SH.DYN.MORT;SP.POP.GROW
ARG;5404,6;100,00000;43,008102; 7,4051288; 161688,0;  1801292;22,0102815;19,101522; 1872,590910;20610,569; 9,9; 1,01580835
BRA;5208,5;100,00000;41,946193;28,5782526; 832683,0; 10312431;18,2899956;14,910538; 2036,384009;16096,401;14,4; 0,78384758
CHL;6780,8;100,00000;35,668289;27,0392386; 134661,0;  4662910;16,0028106;17,356240; 8073,293196;25222,528; 7,2; 1,39101054
CHN;6029,0;100,00000;27,887562;14,5876416;4692008,0;225828900;13,4546491;28,535189;  446,706828;18236,613; 8,6; 0,45589968
COL;4321,9; 99,59524;43,896800;15,6885213; 358847,0;  4125200;14,0423396;13,448252;  651,336486;15012,930;14,2; 1,51727089
DEU;7269,9;100,00000; 9,580473;38,7874035; 922648,6; 19597633;51,1281775;41,112950;56391,561337;53074,540; 3,7; 0,32722815
ECU;3414,3;100,00000;27,634596;14,9551397;  53033,0;  2433500;13,8172064;11,435062;  265,623108;11734,387;14,2; 1,76561120
ESP;2769,4;100,00000;25,664141;14,9740098; 641020,0; 17189759;41,7287822;32,503802;11320,666927;39715,439; 3,0; 0,27971989
FRA;6875,2;100,00000;22,757083;33,2074997; 597412,0;  6369200;59,4240596;44,775767;20414,946464;45342,396; 4,0; 0,18243983
HND;1775,4; 86,50000;14,216823;10,8637009;  14832,0;   976200; 5,5489208; 3,701280;   74,784705; 5138,752;17,6; 1,66710361
IDN;5166,3; 98,14000;13,383407; 5,2682334; 959307,4; 12853000; 3,1021385; 3,315313; 1282,999301;13079,619;25,0; 1,13376986
IND;3160,8; 92,61866;15,435081; 3,4793069;1200111,4; 16382600; 1,6167018; 1,343297;  187,807737; 7762,882;36,6; 1,03732336
IRL;8785,0;100,00000;24,753776; 4,0422310; 935961,0;   988000;37,9598190;29,679436;69791,610436;83203,395; 3,7; 0,95474291
IRN;2317,1;100,00000;25,988721; 7,6665207; 228803,6;  2378600;37,2636479;11,987898;  494,594951;21011,288;14,4; 1,38647970
ITA;5171,4;100,00000;18,741201;13,3653061; 256596,0; 10547112;33,6426099;28,139976;12256,036331;41830,426; 3,0;-0,17430400
KHM;3568,8; 89,07000;12,014482;20,6494954;  14387,0;   742100; 0,5425116; 1,022782;   81,108701; 4360,854;28,0; 1,49035537
KOR;6672,1;100,00000;50,146158; 3,9902457; 526374,0; 28945400;50,6272920;41,596929; 2063,977372;40111,776; 3,2; 0,32793940
MEX;3799,7;100,00000;40,709042;19,0562399; 590727,0;  6980300;17,1531530;14,548628;  225,745480;19844,646;12,7; 1,12642115
PAN;2702,2;100,00000;42,699168; 5,2349810; 119148,0;  6872400;17,4383970;12,933611; 2141,554220;25553,697;15,3; 1,69258055
PER;4166,9; 96,36299;32,481553;13,1411661; 141025,4;  2668000; 9,8015736; 7,347014;  257,336401;14418,071;14,3; 1,71824652
POL;4199,6;100,00000; 4,654728;38,0635380; 123903,0;  2834400;17,3390558;16,125183;16225,449167;31336,603; 4,4; 0,00980075
PRT;4728,4;100,00000;41,182144;16,8854244; 182753,0;  3199200;49,4672633;36,901451;15980,529407;33415,438; 3,7;-0,18013749
ROU;5223,0;100,00000; 9,352912;24,3099367;  55637,0;   678000;18,7633477;26,058496;15938,123654;28206,357; 7,3;-0,58141921
RUS;2964,3;100,00000;23,191330; 7,6162491; 885094,0;  6335300;20,6597507;22,000886; 5190,615460;27147,334; 7,2;-0,01293538
SAU;5600,5;100,00000;47,280472; 4,5283724; 254063,7;  8670000;15,9850577;20,241291;  161,572954;55335,680; 7,1; 1,79887530
VEN;3138,3;100,00000;32,351548;36,9025524;  24986,0;   370800;19,2033383; 9,016400;  275,578326;12640,734;24,5;-1,78586486
YEM; 729,0; 79,20000; 9,752439; 0,6058014;   2342,0;   535000; 4,2752209; 1,355607;    3,754559; 2575,126;55,0; 2,35702252
